5091	104	3	7.59
290	149	7	7.75
8	2291	4	17.82
118	113	145	21.25
247	102	41	11.98
57	985	5	12.01
560	229	3	8.32
184	1098	3	9.86
444	224	4	11
14	107	1763	13.31
347	201	5	9.82
194	476	4	9.37
2506	135	5	25.44
1401	141	3	6.83
904	102	11	7.68
21	197	34	54.25
1087	142	4	9.55
2483	110	4	8.84
915	126	9	27.58
227	159	9	7.8
111	5381	3	12.32
157	2386	3	13.44
153	12	148	33.6
3271	1824	4	59.5
111	3381	3	8.1
251	417	3	7.36
108	4575	3	10.96
108	2524	4	7.67
107	1738	7	14.13
109	4795	3	11.13
730	105	12	8.06
130	523	8	14.25
1181	103	10	10.52
136	103	177	21.17
1352	157	3	8.59
2496	108	4	7.67
190	182	11	13.73
101	1292	11	10.83
766	338	4	20.54
121	445	9	8.84
143	351	12	24.47
400	105	20	7.85
121	581	8	11.27
3555	105	4	11.23
476	110	14	14.74
114	1117	6	7.71
1485	9	3	7.37
840	117	9	21.38
275	912	3	13.32
127	12	238	35.37
2226	106	5	6.88
117	3072	3	11.38
111	2437	4	9.34
165	389	6	10.52
106	244	38	12.91
142	711	7	18.06
130	1292	4	9.41
765	105	11	7.47
110	2645	4	8.84
106	103	815	25.17
9	2676	3	12.43
2908	115	3	6.68
988	12	12	8.81
120	788	6	7.35
2600	109	5	13.48
117	199	35	37.55
1583	140	3	7.24
574	185	4	10.26
147	113	70	20.3
1332	102	8	7.04
599	135	5	6.64
752	381	3	14.75
132	1709	3	7.39
379	201	5	10.97
159	476	5	9.18
521	165	4	6.99
169	144	22	17.13
120	2410	3	7.14
9	519	8	16.77
4610	107	3	9.76
1602	135	3	6.89
2503	104	5	7.91
119	1776	4	9.63
733	385	15	136.51
683	252	4	16.78
413	289	3	8.55
110	418	15	12.85
106	2959	4	6.86
2792	140	3	12.29
3344	519	4	46.48
330	138	8	7.48
106	144	121	12.97
5206	104	3	7.59
2884	116	4	12.97
933	102	12	10.57
137	220	14	11.13
420	109	17	15.65
4	102	6	7.04
123	2872	3	9.56
512	227	3	7.39
1383	343	3	18.15
532	269	4	14.95
16	2119	3	8.08
169	244	7	7.77
197	340	6	13.1
137	4944	3	18.73
222	1661	3	16.09
2291	8	4	17.82
943	198	3	9.48
104	121	297	40.96
169	103	87	10.21
449	14	38	10.37
106	5127	3	8.48
1054	12	13	14.32
205	1350	3	12.15
182	242	6	6.98
337	963	17	179.26
102	5396	3	7.32
546	110	10	7.98
4744	103	3	7.34
2174	130	3	8.74
1171	121	5	8.83
716	110	10	11.27
444	189	5	13.03
588	108	16	23.18
115	2536	3	6.68
109	420	17	15.65
1420	105	7	7.49
1911	112	4	6.64
118	153	37	7.21
202	3166	4	35.25
623	698	3	18.08
102	4625	3	7.32
103	401	22	6.91
910	2768	5	64.74
3101	248	3	21.87
113	125	106	16.12
101	1192	13	13.5
550	165	4	7.21
130	476	11	24.62
989	172	3	8.07
4130	102	3	7.32
989	127	5	10.68
2468	118	3	7.14
2627	218	3	18.27
3978	647	3	36.07
153	256	8	8.42
138	1864	3	8.56
127	1585	3	7.18
329	345	3	7.77
687	1372	11	140.02
592	236	5	20.57
103	154	113	12.45
378	209	4	7.85
234	1527	3	15.64
218	947	3	10.65
112	636	9	8.49
139	2133	3	10.08
102	1000	11	8.97
150	2955	3	13.81
245	744	4	16.85
2022	169	4	21.14
3734	110	3	7.71
140	143	60	82.66
1106	130	5	12.51
333	103	39	32.59
158	157	19	13.69
622	180	5	15.42
1607	117	5	13.12
169	1106	3	8.85
21	364	33	128.9
267	389	3	7.2
110	1480	5	7.47
104	1243	9	9.39
498	228	3	7.82
109	286	22	10.45
2048	112	4	7.9
177	106	70	15.37
569	191	4	10.44
102	2197	6	9.6
105	2116	5	6.79
104	429	25	20.36
253	697	3	10.77
9	126	40	9.34
1743	131	3	6.96
109	1487	6	10.16
403	108	18	16.12
57	1907	3	8.78
108	1715	5	7.3
2534	110	4	8.84
564	105	14	6.89
152	177	13	7.04
208	106	51	10.66
279	12	38	7.54
105	784	14	16.55
4325	4112	3	54.67
201	138	17	12.62
1542	156	3	9.89
165	101	143	12.1
2061	4114	3	45.11
133	206	27	35.75
2547	104	6	15.19
407	403	3	11.61
727	252	7	40.99
229	701	3	9.61
1069	101	14	14.85
12	1093	13	17.12
105	2630	5	9.2
382	671	3	13.95
111	4260	3	12.32
4277	4278	3	54.67
646	101	24	24.35
160	434	5	7.83
116	201	28	8.58
501	101	26	12.03
1184	111	12	38.42
3161	263	3	22.23
110	643	17	36.76
1158	363	3	16.95
213	771	3	9.04
1746	121	5	13.92
1079	203	3	10.72
366	264	5	15.67
142	410	10	21.28
101	612	20	7.97
154	1430	3	8.85
106	1024	11	14.03
4332	164	3	22.29
399	103	30	28.26
2920	119	3	8.63
126	14	530	12.96
175	117	27	10.14
189	119	29	15.73
2207	110	5	12.08
8	105	138	13.81
112	9	81	15.8
105	3702	4	11.23
2439	124	3	8.59
102	355	44	62.92
173	997	3	8.12
12	1346	8	8.43
112	262	20	10.02
167	422	5	8.71
161	324	8	13.72
566	126	6	7.09
261	196	6	10.26
510	112	12	11.73
110	3383	3	7.71
154	14	277	23.42
209	117	24	16.24
9	3344	4	25.32
2865	106	4	6.86
372	164	7	13.21
472	346	3	10.97
168	641	4	9.02
105	1467	7	7.49
296	366	3	7.57
118	1082	9	25.71
139	416	6	6.92
157	503	7	17.38
1727	101	8	6.95
163	123	45	34.69
271	1120	3	14.78
1150	176	5	21.85
141	944	5	11.59
2928	141	4	20.48
9	2000	3	9.77
359	328	3	7.97
2983	109	4	10.17
2028	4109	3	45.11
848	172	5	17.06
468	101	34	33.89
2342	111	4	9.34
597	102	18	17.45
