228	9012	6
687	8743	7
106	7706	7
14	326	13
16299	7329	16
156	2910	21
14	1901	19
110	3792	10
14	2946	20
1528	730	11
338	6508	8
831	9419	12
107	3158	3
2978	5774	6
12754	2416	19
6149	5133	7
146	2311	5
134	5836	11
1916	693	10
310	3839	3
15831	9533	6
12	6720	6
314	854	1
12	237	11
14	1324	5
436	3451	7
115	3265	7
113	84	7
9832	4831	6
107	8851	1
101	7758	8
3351	8275	1
20084	5465	9
12	1993	5
590	6180	2
105	2656	7
1569	7126	16
107	1015	2
391	3335	4
101	5509	1
101	2307	18
133	2181	4
126	5723	12
14	1927	31
280	628	1
178	4473	6
2659	1140	10
16862	7635	7
3520	429	24
128	9302	7
101	4106	21
101	1965	3
215	9895	9
3270	6171	0
13483	6779	0
135	9713	10
482	9861	35
723	7301	0
12	4328	5
3395	6569	1
293	970	1
104	1645	16
439	7609	22
260	7988	6
104	1928	12
267	1893	5
104	7461	1
24559	7518	1
129	3872	19
22376	5591	13
359	8450	10
10688	5415	17
325	9995	9
319	5006	5
115	9101	3
647	5668	1
101	6637	4
281	2486	0
5347	8546	6
3652	281	1
8355	2142	2
104	8916	36
128	2580	7
734	9531	10
2796	8775	1
367	3192	3
102	9709	7
13028	6190	0
250	202	1
135	9812	20
391	6246	6
989	3775	3
148	9917	3
542	3913	20
26642	371	6
172	4946	17
14	8042	16
106	8285	9
2577	7300	8
6529	4218	12
103	682	6
1044	2588	12
2425	2059	4
122	5469	11
112	9434	2
296	6576	21
3602	1771	1
1752	5598	6
17401	9381	11
3321	2215	20
7278	8591	13
1301	7900	1
648	7693	4
7215	7587	5
116	8901	1
129	8995	5
21506	1027	16
1511	7007	10
260	6269	6
24199	5818	9
145	1280	0
156	189	14
8413	9782	9
12	9675	18
176	6554	1
141	9736	6
14	1779	42
186	9863	4
140	8052	19
1171	6967	27
124	6011	1
14	1035	7
1617	4014	9
537	5526	3
101	6311	8
101	522	5
4935	9682	4
116	1800	0
563	5798	34
6632	7307	2
286	3842	7
102	1677	14
114	5708	4
116	1487	0
767	9299	5
102	4616	4
8592	567	12
106	5503	10
169	168	8
14	7087	8
328	2578	8
112	1978	11
712	3607	1
8294	6376	13
153	7514	4
492	465	9
110	2814	10
110	3376	8
210	9159	16
106	9945	7
112	976	3
3808	2456	6
108	662	6
377	3264	25
224	2629	0
101	204	17
202	7882	12
17666	3380	8
13613	6539	13
101	7242	2
101	297	13
22911	2140	16
882	303	20
112	6098	11
108	6001	18
12	3590	6
133	9056	2
16382	2885	23
149	340	6
1052	3203	3
2172	196	12
102	3371	9
181	1865	22
233	6696	0
103	9098	13
115	7405	15
242	1915	6
105	9803	3
192	5210	26
350	1084	9
117	8719	3
14	6087	13
524	1049	12
1941	7826	18
3600	2951	18
109	629	2
101	9738	10
1132	4977	0
244	671	7
185	7617	20
376	2213	2
12	3265	6
174	9136	8
11049	1873	6
125	9565	2
776	9612	3
254	5409	28
265	5966	2
14	8104	14
210	9601	0
5192	3184	9
1222	954	5
14883	8306	7
14	4770	21
112	4657	5
4344	8958	0
18097	9444	6
112	3922	10
3046	1569	14
177	82	2
26431	7134	1
198	9858	7
7229	3798	2
570	9855	3
102	6880	5
101	9540	12
304	2305	10
105	8005	13
14014	7746	0
156	435	10
150	5364	0
8	122	13
1183	8611	17
106	4828	6
383	9397	9
197	8488	3
183	7525	2
2278	2979	5
23282	1175	4
407	2140	15
113	2623	14
200	9384	4
101	5099	3
103	2511	11
103	6211	3
755	4492	2
103	5292	4
1210	9544	3
16711	3618	16
117	207	10
124	6237	2
2464	1351	4
174	9811	6
14	4197	21
266	1126	3
14	6980	16
405	4188	3
104	2532	3
14	2097	33
102	4422	2
117	655	8
13213	6663	4
128	19	20
312	1690	18
106	6100	16
105	7080	7
12	9731	2
119	2791	4
944	418	25
101	9831	4
142	555	29
129	2505	19
2281	643	11
299	7446	4
391	5194	11
522	5966	10
494	2797	33
17688	2557	5
165	9889	16
11804	7841	9
5644	6927	11
442	6037	13
103	6659	1
105	6156	13
264	2596	5
13402	2886	5
120	4326	3
5620	6606	12
109	3120	11
9934	7845	1
101	5282	3
12425	1274	26
119	4968	21
130	6124	6
105	551	22
14	5833	9
28	7960	3
20029	2136	13
1334	9139	2
1187	9175	14
114	391	8
102	9293	7
202	2277	8
159	6553	26
425	7678	6
111	4542	7
11546	9200	7
13044	7076	10
593	1444	1
219	7690	0
8	376	8
22902	2018	13
26048	6643	12
14	6949	31
145	1292	1
24578	1790	27
22221	6182	2
123	250	10
331	5427	3
6381	7809	15
106	6846	16
214	1454	19
17466	4703	8
117	9546	2
24691	3976	11
103	3680	6
542	9988	25
18113	7177	6
183	5346	8
556	1964	1
392	1001	0
19042	1677	9
563	662	18
9196	1345	3
328	4275	4
2636	8530	14
5425	9714	16
109	3601	6
726	5959	9
4946	2959	5
122	5147	6
26958	7291	18
122	3766	11
21	9353	9
110	3388	9
103	5550	1
494	1052	6
139	8090	2
12	7203	17
252	9794	8
213	6338	15
11387	8645	4
2925	7600	2
108	6775	8
25783	8622	9
181	2539	6
147	4550	5
682	1869	2
102	6436	20
101	4265	4
227	9297	9
180	4745	11
472	3298	26
6895	6103	7
856	7075	8
115	8681	18
106	4349	11
17	3954	7
101	8975	9
111	9298	27
111	2262	15
135	8730	15
123	4593	0
114	7969	2
101	641	6
5028	4667	5
260	4094	3
227	9522	3
14140	7776	0
107	118	15
107	1976	13
274	8796	0
112	1841	8
108	1655	13
859	8916	26
141	6313	5
384	318	6
318	5474	12
3480	6045	2
1211	6561	30
14	2316	9
108	6320	8
106	2774	16
117	9056	8
103	2122	12
130	4961	23
113	4605	8
3605	8438	3
933	7538	3
102	8655	6
120	4331	22
12	8518	3
108	786	21
121	4013	9
5592	2810	9
103	5571	15
3904	9569	15
143	6540	9
1447	1700	12
137	4338	27
2363	9586	0
138	5821	3
157	7443	4
12	9516	11
190	4889	0
12	4135	14
12513	6013	21
108	9684	14
1739	8817	32
19336	5921	25
161	3870	9
215	8614	0
120	6988	5
631	9665	2
138	5242	3
140	3288	2
103	5857	19
257	4498	3
108	3295	14
276	84	5
104	1863	7
1127	1379	24
23305	7836	5
101	2798	5
102	867	21
161	7478	11
424	9276	25
172	5650	14
105	7076	6
14	9216	15
108	9264	6
7	6269	7
107	2427	18
101	8705	13
2	9450	0
154	5469	0
18980	1090	1
21529	6980	15
157	5393	9
3473	3938	4
2974	4837	18
3410	7063	5
105	6629	16
12	1061	6
112	4382	12
12	9643	9
746	2235	1
954	4455	13
104	7182	2
2	3878	0
14	7964	32
231	6707	8
102	6920	12
102	6119	11
199	1645	4
251	9157	0
521	9799	0
14	3625	19
1792	1675	4
105	4582	9
139	6621	6
113	8794	17
200	4526	20
227	5104	2
116	2213	0
163	5096	14
14326	942	6
2083	1786	16
9	7963	27
22252	4047	13
103	4520	19
